,title,region,version,crc32,status,Project Lunar Version,notes,EXTRA FILES,,,,,,,,,,,,,,,,,
,Asterix and the Great Rescue,USA,f1,D4FE43F0,Unplayable,1.0.25.41117,Garbled Screen,,,,,,,,,,,,,,,,,,
,Asterix and the Great Rescue,USA,h1C,3EEF4315,Unplayable,1.0.25.41117,Garbled Screen,,,,,,,,,,,,,,,,,,
,Asterix and the Power of the Gods,Europe,,4FF1D83F,Unplayable,1.0.7251.40474,Glicthes everywhere,https://media.discordapp.net/attachments/636607685403344926/642593680410279937/unknown.png,,,,,,,,,,,,,,,,,
,Asterix and the Power of The Gods,Europe,f1,A90D70F0,Unplayable,1.0.25.41117,Garbled Screen,,,,,,,,,,,,,,,,,,
,Asterix and the Power of The Gods,Europe,f1+1C,2DF554C0,Unplayable,1.0.25.41117,Garbled Screen,,,,,,,,,,,,,,,,,,
,Asterix and the Power of The Gods,Europe,f1+2C,33BD23A0,Unplayable,1.0.25.41117,Garbled Screen,,,,,,,,,,,,,,,,,,
,Atomic Robo-Kid,Japan,,E833067E,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Atomic Robo-Kid,USA,,7CD8169E,Works,,,,,,,,,,,,,,,,,,,,
,Atomic Runner,Europe,,B3C05418,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Atomic Runner,USA,,0677C210,Works,,,,,,,,,,,,,,,,,,,,
,ATP Tour,Europe,,1A3DA8C5,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,ATP Tour Championship Tennis,USA,,8C822884,Works,,,,,,,,,,,,,,,,,,,,
,Australian Rugby League,Europe,,AC5BC26A,Works,,,,,,,,,,,,,,,,,,,,
,Awesome Possum... ...Kicks Dr. Machino's Butt,USA,,1F07577F,Works,,,,,,,,,,,,,,,,,,,,
,Awesome Possum... ...Kicks Dr. Machino's Butt,Japan,,8C64445E,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Aworg,Japan,SegaNet,069C27C1,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Ayrton Senna's Super Monaco GP II,"Japan, Europe",,60AF0F76,Works,1.0.7251.40474,Force Japan (NTSC),,,,,,,,,,,,,,,,,,
,Ayrton Senna's Super Monaco GP II,USA,,EAC8DED6,Works,,,,,,,,,,,,,,,,,,,,
,B.O.B.,"USA, Europe",Rev A,EAA2ACB7,Works,1.0.7251.40474,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Back to the Future Part III,Europe,,2737F92E,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
